name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Ilham Weli,Male,Xinjiang Daily,July 2018,China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Iman Behpasand,Male,Freelancer,"September 22, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Ismail Alexandrani,Male,Freelancer,"November 29, 2015",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2015,Freelancer
İsmail Çoban,Male,Azadiya Welat,"April 21, 2018",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2018,Staff
Ivan Muravyou,Male,Freelancer,"August 29, 2022",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Ivan Safronov,Male,"Kommersant, Vedomosti","July 7, 2020",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Ivor Shearer,Male,Freelancer,"August 17, 2022",Afghanistan,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Jihad As'ad Mohamed,Male,Freelancer,"August 10, 2013",Syria,,Imprisoned,Journalist or Media Worker,Middle East,2013,Freelancer
Jimi'ie Kimeil,Male,Eritrea al-Haditha,"November 24, 2005",Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2005,Staff
Jimmy Lai Chee-ying,Male,"Apple Daily, Next Digital Limited","December 2, 2020",China,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
José Rubén Zamora Marroquín,Male,elPeriódico,"July 29, 2022",Guatemala,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Juan Lorenzo Holmann Chamorro,Male,La Prensa,"August 14, 2021",Nicaragua,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Juret Haji,Male,Xinjiang Daily,"August 6, 2018",China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Kamiar Fakour,Male,Freelancer,"November 6, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Kao Piseth,Male,Siam Reap Tannhektar,"July 14, 2021",Cambodia,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Kasra Nouri,Male,Majzooban-e-Noor,"February 19, 2018",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2018,Staff
Kaung Sett Lin,Male,Myanmar Pressphoto Agency,"December 5, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Kayvan Samimi,Male,Iran-e-Farda,"December 7, 2020",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2020,Staff
Kenan Karavil,Male,Radyo Dünya,"December 7, 2009",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2009,Staff
Khaing Myint Tun (Shwe Lin Thit),Male,Freelancer,"October 22, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Khaled Abdelwahab Radwan,Male,Freelancer,"March 7, 2014",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2014,Freelancer
Khaled Sahloob,Male,Freelancer,"January 2, 2014",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2014,Freelancer
Khalid Qaderi,Male,Radio Nawruz,"March 17, 2022",Afghanistan,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Khosrow Sadeghi Borojeni,Male,Freelancer,"August 18, 2020",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2020,Freelancer
Khushruz Jumayev,Male,Pomere.info,"May 19, 2022",Tajikistan,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Kingsley Fomunyuy Njoka,Male,Freelancer,"May 15, 2020",Cameroon,,Imprisoned,Journalist or Media Worker,All other countries,2020,Freelancer
Kyaw Swar Tun,Male,Mizzima,"September 8, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Lam Man-chung,Male,"Apple Daily, Next Digital Limited","July 21, 2021",China,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Lázaro Yuri Valle Roca,Male,Freelancer,"June 15, 2021",Cuba,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Le Anh Hung,Male,Voice of America,"July 5, 2018",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Le Huu Minh Tuan,Male,Freelancer,"June 12, 2020",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2020,Freelancer
Le Manh Ha,Male,Voice of the People TV (TDTV),"January 12, 2022",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Le The Thang,Male,Bao Sach (Clean Newspaper),"July 6, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Le Trong Hung,Male,Chen Hung Nuoc Viet (CHTV),"March 27, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Le Van Dung (Le Dung Vova),Male,Chan Hung Nuoc Viet,"June 30, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Lezgin Akdeniz,Male,ARİ Production Company,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Li Xinde,Male,China Public Opinion Surveillance Net,"October 23, 2019",China,,Imprisoned,Journalist or Media Worker,All other countries,2019,Staff
Liu Wei'an,Male,Freelancer,"June 5, 2013",China,,Imprisoned,Journalist or Media Worker,All other countries,2013,Freelancer
Lü Gengsong,Male,Freelancer,"July 7, 2014",China,,Imprisoned,Journalist or Media Worker,All other countries,2014,Freelancer
