name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Alaa Taher Al-Hassanat,Female,AlMajedat Media Network,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Alexandra Tuttle,Female,The Wall Street Journal,"September 22, 1993",Georgia,Crossfire,Killed,Journalist,All other countries,1993,Staff
Alison Parker,Female,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,All other countries,2015,Staff
Amparo Leonor Jiménez Pallares,Female,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Murder,Killed,Journalist,All other countries,1998,Staff
Anastasiya Baburova,Female,Novaya Gazeta,"January 19, 2009",Russia,Murder,Killed,Journalist,All other countries,2009,Staff
Anja Niedringhaus,Female,The Associated Press,"April 4, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2014,Staff
Anna Politkovskaya,Female,Novaya Gazeta,"October 7, 2006",Russia,Murder,Killed,Journalist,All other countries,2006,Staff
Asiya Jeelani,Female,Freelancer,"April 20, 2004",India,Dangerous Assignment,Killed,Journalist,All other countries,2004,Freelancer
Atwar Bahjat,Female,Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Audrey Gaid Estrada,Female,101.3 Grace Covenant FM,"March 17, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Ayat Khadoura,Female,Unknown,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Ayelet Arnin,Female,Kan,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Aysel Malkac,Female,Ozgur Gundem,"August 7, 1993",Turkey,Murder,Killed,Journalist,Middle East,1993,Staff
Batoul Mokhles al-Warrar,Female,Noor al-Sham; Radio Damascus,"November 3, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Camille Lepage,Female,Freelancer,May 2014,Central African Republic,Dangerous Assignment,Killed,Journalist,All other countries,2014,Freelancer
Cynthia Elbaum,Female,Freelancer,"December 22, 1994",Russia,Crossfire,Killed,Journalist,All other countries,1994,Freelancer
Dalia Marko,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015,Staff
Daphne Caruana Galizia,Female,Running Commentary,"October 16, 2017",Malta,Murder,Killed,Journalist,All other countries,2017,Staff
Dilshan Ibash,Female,Hawar News Agency (ANHA),"October 12, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Dolores Guadalupe García Escamilla,Female,Stereo 91,"April 16, 2005",Mexico,Murder,Killed,Journalist,All other countries,2005,Staff
Duniya Muhyadin Nur,Female,Capital Voice,"June 5, 2005",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2005,Staff
Elsa Cayat,Female,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Freelancer
Farah Omar,Female,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Flor Alba Núñez Vargas,Female,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,Murder,Killed,Journalist,All other countries,2015,Staff
Francisca Sandoval,Female,Canal Señal 3 La Victoria,"May 12, 2022",Chile,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Gabrielle Marian Hulsen,Female,Freelancer,"August 18, 1992",Lebanon,Murder,Killed,Journalist,Middle East,1992,Freelancer
Gauri Lankesh,Female,Gauri Lankesh Patrike,"September 5, 2017",India,Murder,Killed,Journalist,All other countries,2017,Staff
Ghislaine Dupont,Female,Radio France Internationale,"November 2, 2013",Mali,Murder,Killed,Journalist,All other countries,2013,Staff
Gina Dela Cruz,Female,Saksi News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Habiba Ahmed Abd Elaziz,Female,Al-Jazeera,"August 14, 2013",Egypt,Crossfire,Killed,Journalist,Middle East,2013,Staff
Halima Idris Salim,Female,Sudan Bukra,"October 10, 2023",Sudan,Dangerous Assignment,Killed,Journalist,All other countries,2023,Staff
Halla Barakat,Female,Orient Net,"Body found on September 21, 2017",Turkey,Motive Unconfirmed,Killed,Journalist,Middle East,2017,Staff
Hind Ismail,Female,As-Saffir,"September 17, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Hindia Haji Mohamed,Female,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,Murder,Killed,Journalist,All other countries,2015,Staff
Ilaria Alpi,Female,RAI-3 Television,"March 20, 1994",Somalia,Murder,Killed,Journalist,All other countries,1994,Staff
Isaivizhi Chempiyan,Female,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire,Killed,Journalist,All other countries,2007,Staff
Jhannah Villegas,Female,"Sagad and Bugso,Radyo Ukay,Energy FM 106.7","April 15, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Johanne Sutton,Female,Radio France Internationale,"November 11, 2001",Afghanistan,Crossfire,Killed,Journalist,All other countries,2001,Staff
Karen Fischer,Female,Freelancer,"October 7, 2006",Afghanistan,Murder,Killed,Journalist,All other countries,2006,Freelancer
Karmela Sojanovic,Female,Oslobodjenje,"January 10, 1993",Bosnia,Murder,Killed,Journalist,All other countries,1993,Staff
Kate Peyton,Female,BBC,"February 9, 2005",Somalia,Murder,Killed,Journalist,All other countries,2005,Staff
Khadija Dahmani,Female,Echourouk al-Arabi,"December 5, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Khamail Khalaf,Female,Radio Free Iraq,"April 5, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Kim Wall,Female,Freelancer,"August 10, 2017",Denmark,Dangerous Assignment,Killed,Journalist,All other countries,2017,Freelancer
Larisa Yudina,Female,Sovietskaya Kalmykia Segodnya,"June 8, 1998",Russia,Murder,Killed,Journalist,All other countries,1998,Staff
Layal Najib,Female,Freelancer,"July 23, 2006",Lebanon,Crossfire,Killed,Journalist,Middle East,2006,Freelancer
Lea Dalmacio,Female,Socsargen News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Leslie Ann Pamela Montenegro del Real,Female,El Sillón,"February 5, 2018",Mexico,Murder,Killed,Journalist,All other countries,2018,Staff
Leyla Yildizhan (Deniz Firat),Female,Firat News Agency,"August 8, 2014",Iraq,Crossfire,Killed,Journalist,Middle East,2014,Staff
Lissy Schmidt,Female,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel","April 3, 1994",Iraq,Murder,Killed,Journalist,Middle East,1994,Staff
Luma al-Karkhi,Female,Al-Dustour,"November 15, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Lyra McKee,Female,Freelancer,"April 18, 2019",UK,Dangerous Assignment,Killed,Journalist,All other countries,2019,Freelancer
Maha Ibrahim,Female,Baghdad TV,"June 25, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005,Staff
Maharram Durrani,Female,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Malalai Maiwand,Female,Enikass Radio and TV,"December 10, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020,Staff
Malika Sabour,Female,Echourouk al-Arabi,"May 21, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
María Carlin Fernández,Female,Peruvian Radio and Television Network,"December 10, 1993",Peru,Murder,Killed,Journalist,All other countries,1993,Staff
María Efigenia Vásquez Astudillo,Female,Renacer Kokonuko,"October 8, 2017",Colombia,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Maria Elena Ferral Hernández,Female,"El Diario de Xalapa,El Quinto Poder","March 30, 2020",Mexico,Murder,Killed,Journalist,All other countries,2020,Staff
Maria Elizabeth Macías Castro,Female,Freelancer,"September 24, 2011",Mexico,Murder,Killed,Journalist,All other countries,2011,Freelancer
Maria Grazia Cutuli,Female,Corriere della Serra,"November 19, 2001",Afghanistan,Murder,Killed,Journalist,All other countries,2001,Staff
Maria Guadalupe Lourdes Maldonado López,Female,Freelancer,"January 23, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Freelancer
María José Bravo,Female,La Prensa,"November 9, 2004",Nicaragua,Murder,Killed,Journalist,All other countries,2004,Staff
María Veronica Tessari,Female,Colombian Media,"January 15, 1993",Venezuela,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Maricel Vigo,Female,DXND,"June 19, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006,Staff
Marie Colvin,Female,The Sunday Times,"February 22, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Staff
Marife “Neneng” Montaño,Female,Saksi News and DXCI,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Marites Cablitas,Female,News Focus and DXDX,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Marlene Garcia-Esperat,Female,Midland News and DXKR,"March 24, 2005",Philippines,Murder,Killed,Journalist,All other countries,2005,Staff
Mayada Ashraf,Female,Al-Dustour,"March 28, 2014",Egypt,Crossfire,Killed,Journalist,Middle East,2014,Staff
Michelle Lang,Female,Calgary Herald and Canwest News Service,"December 30, 2009",Afghanistan,Crossfire,Killed,Journalist,All other countries,2009,Staff
Mika Yamamoto,Female,Japan Press,"August 20, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Staff
Mina Khairi,Female,Ariana News TV,"June 3, 2021",Afghanistan,Murder,Killed,Journalist,All other countries,2021,Staff
Miroslava Breach Velducea,Female,La Jornada,"March 23, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017,Staff
Mona al-Bakkour,Female,Al-Thawra and Syria al-Qalaa,"October 3, 2012",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2012,Staff
Nadezhda Chaikova,Female,Obshchaya Gazeta,"March 30, 1996",Russia,Murder,Killed,Journalist,All other countries,1996,Staff
Nadia Nasrat,Female,Iraq Media Network/Diyala TV,"March 18, 2004",Iraq,Murder,Killed,Journalist,Middle East,2004,Staff
Naïma Hammouda,Female,Révolution Africaine,"August 2, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Naqshin Hamma Rashid,Female,Atyaf,"October 29, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Natalya Alyakina,Female,Focus and RUFA,"June 17, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995,Staff
Natalya Estemirova,Female,"Novaya Gazeta, Kavkazsky Uzel","July 15, 2009",Russia,Murder,Killed,Journalist,All other countries,2009,Staff
Natalya Skryl,Female,Nashe Vremya,"March 9, 2002",Russia,Murder,Killed,Journalist,All other countries,2002,Staff
Nawras al-Nuaimi,Female,Al-Mosuliya TV,"December 15, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013,Staff
Nina Yefimova,Female,Vozrozhdeniye,"May 9, 1996",Russia,Murder,Killed,Journalist,All other countries,1996,Staff
Norma Sarabia Garduza,Female,"Tabasco Hoy,Diario Presente","June 11, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019,Staff
Ogulsapar Muradova,Female,Radio Free Europe/Radio Liberty,September 2006,Turkmenistan,Murder,Killed,Journalist,All other countries,2006,Staff
Oksana Baulina,Female,The Insider,"March 23, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022,Staff
Oksana Haidar,Female,Unknown,"March 11-April 7, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Oleksandra Kuvshynova,Female,Fox News,"March 14, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022,Staff
Oralgaisha Omarshanova (Zhabagtaikyzy),Female,Zakon i Pravosudiye,"On or after March 30, 2007",Kazakhstan,Motive Unconfirmed,Killed,Journalist,All other countries,2007,Staff
Rachida Hammadi,Female,Algerian State Television,"March 31, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Radoslava Dada Vujasinovic,Female,Duga,"April 8, 1994",Serbia,Motive Unconfirmed,Killed,Journalist,All other countries,1994,Staff
Raeda Wazzan,Female,Al-Iraqiya,"February 25, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Randa George,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015,Staff
Rasha Abdullah al-Harazi,Female,"Al-Ain,Bloomberg Asharq","November 9, 2021",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2021,Staff
Regina Martínez Pérez,Female,Proceso,"April 28, 2012",Mexico,Murder,Killed,Journalist,All other countries,2012,Staff
Relangi Selvarajah,Female,Sri Lanka Rupavahini Corp.,"August 12, 2005",Sri Lanka,Murder,Killed,Journalist,All other countries,2005,Staff
Rubylita Garcia,Female,"Remate, dwAD","April 6, 2014",Philippines,Murder,Killed,Journalist,All other countries,2014,Staff
Sagal Salad Osman,Female,Radio Mogadishu,"June 5, 2016",Somalia,Murder,Killed,Journalist,All other countries,2016,Staff
Sahar Hussein Ali al-Haydari,Female,National Iraqi News Agency and Aswat al-Iraq,"June 7, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Saïda Djebaili,Female,Al-Hayat al-Arabia,"October 17, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Salam Mema,Female,Unknown,"October 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Sarwa Abdul-Wahab,Female,Freelancer,"May 4, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Freelancer
Shai Regev,Female,Ma’ariv,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Shaima El-Gazzar,Female,Al-Majedat network,"December 3, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Sheila Johana García Olivera,Female,El Veraz,"May 9, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Shifa Zikri Ibrahim (Shifa Gardi),Female,Rudaw TV,"February 25, 2017",Iraq,Crossfire,Killed,Journalist,Middle East,2017,Staff
Shireen Abu Akleh,Female,Al-Jazeera,"May 11, 2022",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,Middle East,2022,Staff
Shoba,Female,O'liveechchu,"May 18 or 19, 2009",Sri Lanka,Crossfire,Killed,Journalist,All other countries,2009,Staff
Sonia Isabel Alvarado Huayunga,Female,Radio Láser,"December 7 to December 9, 2019",Peru,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Tuba Akyılmaz (Nujiyan Erhan),Female,"Jin News Agency (JINHA), Roj News, Gazete Sujin","March 25, 2017",Iraq,Motive Unconfirmed,Killed,Journalist,Middle East,2017,Staff
Uma Singh,Female,"Janakpur Today, Radio Today","January 11, 2009",Nepal,Murder,Killed,Journalist,All other countries,2009,Staff
Veronica Guerin,Female,Sunday Independent,"June 26, 1996",Ireland,Murder,Killed,Journalist,All other countries,1996,Staff
Veronique Robert,Female,#5BisProduction,"June 24, 2017",Iraq,Crossfire,Killed,Journalist,Middle East,2017,Staff
Viktoria Marinova,Female,TVN,"October 6, 2018",Bulgaria,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Vira Hyrych,Female,Radio Free Europe/Radio Liberty,"April 28, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Wassan Al-Azzawi,Female,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013,Staff
Wendi Winters,Female,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,All other countries,2018,Staff
Winifrida Mukamana,Female,Reba Videwo,"April 7, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Yara Abbas,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Yasmina Brikh,Female,Algerian Radio,"September 4, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Yasmina Drici,Female,Le Soir d'Alégrie,"July 10, 1999",Algeria,Murder,Killed,Journalist,All other countries,1999,Staff
Yessenia Mollinedo Falconi,Female,El Veraz,"May 9, 2022",Mexico,Crossfire,Killed,Journalist,All other countries,2022,Staff
Zahra Kazemi,Female,Freelancer,"July 10, 2003",Iran,Murder,Killed,Journalist,Middle East,2003,Freelancer
Zakia Zaki,Female,Sada-i-Sulh,"June 4, 2007",Afghanistan,Crossfire,Killed,Journalist,All other countries,2007,Staff
Abadullah Hananzai,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Abay Hailu,Male,Agiere,"February 9, 1998",Ethiopia,Dangerous Assignment,Killed,Journalist,All other countries,1998,Staff
Abd al-Karim al-Ezzo,Male,Freelancer,"December 21, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Freelancer
Abdallah Bouhachek,Male,Révolution et Travail,"February 10, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996,Staff
Abdel Aziz Mahmoud Hasoun,Male,Masar Press,"September 5, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Abdel Karim al-Oqda,Male,Shaam News Network,"September 19, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Staff
Abdel Karim al-Rubai,Male,Al-Sabah,"September 9, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Abdel Karim Nazir Ismail,Male,Freelancer,"January 31, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Freelancer
Abdel Sattar Abdel Karim,Male,Al Ta'akhy,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Abdelhamid Benmeni,Male,Algérie-Actualité,"August 9, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Staff
Abdelhamid Yahiaoui,Male,El-Chaab,"January 12, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Abdelkader Hireche,Male,Algerian Television (ENTV),"February 28, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Abdelqadir Fassouk,Male,Arraed Satellite TV,"July 21, 2016",Libya,Crossfire,Killed,Journalist,All other countries,2016,Staff
Abderrahmane Chergou,Male,Freelancer,"September 28, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Freelancer
Abdiaziz Ali,Male,Radio Shabelle,"September 27, 2016",Somalia,Murder,Killed,Journalist,All other countries,2016,Staff
Abdiaziz Mohamud Guled,Male,Radio Mogadishu,"November 20, 2021",Somalia,Murder,Killed,Journalist,All other countries,2021,Staff
Abdihared Osman Aden,Male,Shabelle Media Network,"January 18, 2013",Somalia,Murder,Killed,Journalist,All other countries,2013,Staff
Abdinasir Abdulle Ga’al,Male,Somali National Army Radio,"August 14, 2019",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2019,Staff
Abdirahman Yasin Ali,Male,Radio Hamar,"September 20, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Abdirisak Mohamed Warsame,Male,Radio Shabelle,"May 22, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009,Staff
Abdirisak Said Osman,Male,Codka Nabada,"September 19, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Abdirizak Ali Abdi,Male,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,Murder,Killed,Journalist,All other countries,2014,Staff
Abdirizak Kasim Iman,Male,SBS TV,"July 26, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Abdisalan Sheikh Hassan,Male,Freelancer,"December 18, 2011",Somalia,Murder,Killed,Journalist,All other countries,2011,Freelancer
Abdisatar Daher Sabriye,Male,Radio Mogadishu,"September 20, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Abdiwali Ali Hassan,Male,"Freelance; Universal TV, Radio Kulmiye","February 16, 2020",Somalia,Murder,Killed,Journalist,All other countries,2020,Staff
Abdul Aziz Shaheen,Male,Azadi,"August 29, 2008",Pakistan,Crossfire,Killed,Journalist,All other countries,2008,Staff
Abdul Hakim Shimul,Male,Samakal,"February 3, 2017",Bangladesh,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Abdul Hameed al-Yousef,Male,Kafr Rumah Media Office,"November 10, 2019",Syria,Crossfire,Killed,Journalist,Middle East,2019,Staff
Abdul Haq Baloch,Male,ARY Television,"September 29, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012,Staff
Abdul Manan Arghand,Male,Kabul News,"April 25, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Abdul Nasser Haj Hamdan,Male,Media Office in Binnish,"February 20, 2020",Syria,Crossfire,Killed,Journalist,Middle East,2020,Staff
Abdul Qadir Hajizai,Male,WASH TV,"May 28, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012,Staff
Abdul Qodus,Male,Aryana TV,"July 22, 2006",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2006,Staff
Abdul Raheem Kour Hassan,Male,Watan FM,Unknown in 2013,Syria,Dangerous Assignment,Killed,Journalist,Middle East,2013,Staff
Abdul Rahman Ismael Yassin,Male,Hammouriyeh Media Office,"February 20, 2018",Syria,Crossfire,Killed,Journalist,Middle East,2018,Staff
Abdul Razzak Johra,Male,Royal TV,"November 3, 2008",Pakistan,Murder,Killed,Journalist,All other countries,2008,Staff
Abdul Salam Kanaan,Male,Al-Jisr TV,"October 31, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016,Staff
Abdul Samad Rohani,Male,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,Murder,Killed,Journalist,All other countries,2008,Staff
Abdul Shariff,Male,Freelancer,"January 9, 1994",South Africa,Crossfire,Killed,Journalist,All other countries,1994,Freelancer
Abdul Wahab,Male,Express News,"December 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
Abdul-Rahim Nasrallah al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Abdulai Jumah Jalloh,Male,African Champion,"February 3, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Staff
Abdulhadi Habib,Male,"Al-Manara News Agency,HQ News Agency","October 16, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Abdulkadir Ahmed,Male,Freelancer,"December 5, 2014",Somalia,Murder,Killed,Journalist,All other countries,2014,Freelancer
Abdulkadir Mahad Moallim Kaskey,Male,Radio Banadir,"August 24, 2007",Somalia,Crossfire,Killed,Journalist,All other countries,2007,Staff
Abdulkhafar Abdulkadir,Male,Freelancer,"December 3, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009,Freelancer
Abdullah al-Montasser,Male,Al-Sahat,"February 7, 2018",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2018,Staff
Abdullah al-Qadry,Male,Belqees TV,"April 13, 2018",Yemen,Crossfire,Killed,Journalist,Middle East,2018,Staff
Abdullah Darwish,Male,Al Aqsa TV,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Abdullah Mire Hashi,Male,Darul Sunnah,"October 27, 2018",Somalia,Murder,Killed,Journalist,All other countries,2018,Staff
Abdullah Mohammad Ghannam,Male,Shahba Press Agency,"July 14, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016,Staff
Abdullah Qabil,Male,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,Crossfire,Killed,Journalist,Middle East,2015,Staff
Abdullahi Madkeer,Male,DMC Radio,"January 24, 2003",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2003,Staff
Abdullahi Osman Moalim,Male,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,Murder,Killed,Journalist,All other countries,2017,Staff
Abdulmalik Akhmedilov,Male,Hakikat and Sogratl,"August 11, 2009",Russia,Murder,Killed,Journalist,All other countries,2009,Staff
Abdulrazak Hashim Ayal al-Khakani,Male,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Abshir Ali Gabre,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire,Killed,Journalist,All other countries,2007,Staff
Abukar Hassan Mohamoud,Male,Somaliweyn Radio,"February 28, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Achyutananda Sahu,Male,Doordarshan,"October 30, 2018",India,Crossfire,Killed,Journalist,All other countries,2018,Staff
Adam Juma,Male,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015,Staff
Adam Ward,Male,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,All other countries,2015,Staff
Adeeb al-Janani,Male,Belqees TV,"December 30, 2020",Yemen,Dangerous Assignment,Killed,Journalist,Middle East,2020,Staff
Adel Naji al-Mansouri,Male,Al-Alam,"July 29, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Adel Sayegh,Male,Salaheddin TV,August 2015,Iraq,Murder,Killed,Journalist,Middle East,2015,Staff
Adel Zerrouk,Male,Al-Rai,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,All other countries,2001,Staff
Adham Hassouna,Male,Unknown,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Adil Bunyatov,Male,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,Crossfire,Killed,Journalist,All other countries,1995,Staff
Adlan Khasanov,Male,Reuters,"May 9, 2004",Russia,Dangerous Assignment,Killed,Journalist,All other countries,2004,Staff
Adnan al-Bayati,Male,TG3,"July 23, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Adnan al-Safi,Male,Al-Anwar,"July 27, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Adnan Khairallah,Male,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Adolfo Isuiza Urquia,Male,Radio Tropical,"August 23, 1992",Peru,Murder,Killed,Journalist,All other countries,1992,Staff
Adolphe Missamba Ndengi Kavula,Male,Nsemo,"November 12, 1994",Democratic Republic of the Congo,Murder,Killed,Journalist,All other countries,1994,Staff
Adrián Silva Moreno,Male,Freelancer,"November 14, 2012",Mexico,Dangerous Assignment,Killed,Journalist,All other countries,2012,Freelancer
Agus Muliawan,Male,Asia Press International,"September 25, 1999",East Timor,Dangerous Assignment,Killed,Journalist,All other countries,1999,Staff
Ahmad Hallak,Male,Al-Buraq Media Institution,"August 2, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ahmad Kareem,Male,Kurdistan TV,"August 25, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003,Staff
Ahmad Mohamed Mahmoud,Male,Al-Ta'awun,"February 4, 2011",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Ahmad Omaid Khpalwak,Male,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,Crossfire,Killed,Journalist,All other countries,2011,Staff
Ahmad Sha'ban,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Ahmad Shah,Male,BBC,"April 30, 2018",Afghanistan,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Ahmed (aka Hakim) Takouchet,Male,Radio Cirta,"June 18, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
